NAME,B01003_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,state,YEAR
Washington,6465755,5201398,220417,91437,424531,28884,254838,244250,27988,216262,53,2009
West Virginia,1811403,1707128,59677,3008,11459,660,4112,25359,1329,24030,54,2009
Wisconsin,5599420,4911907,332660,48025,115480,1339,108411,81598,12446,69152,55,2009
Wyoming,523949,479259,4818,11770,3830,180,11070,13022,2421,10601,56,2009
Puerto Rico,3940109,2964136,285752,8056,12085,178,415698,254204,21427,232777,72,2009
Alabama,4712651,3293917,1232325,25814,51219,1769,46237,61370,4643,56727,01,2010
Alaska,691189,464150,22655,98120,36021,6317,9833,54093,2673,51420,02,2010
Arizona,6246816,4883606,240655,278336,166663,12038,498977,166541,47200,119341,04,2010
Arkansas,2872684,2253875,445197,19192,33327,4133,65382,51578,4902,46676,05,2010
California,36637290,22392713,2246311,283628,4747252,140429,5448609,1378348,389022,989326,06,2010
Colorado,4887061,4082565,190598,47022,133134,5757,277524,150461,32176,118285,08,2010
Connecticut,3545837,2795926,342764,7959,129904,1332,189160,78792,18351,60441,09,2010
Delaware,881278,626426,185253,3076,27914,457,19915,18237,2020,16217,10,2010
District of Columbia,584400,222375,309048,1625,20323,362,20021,10646,1484,9162,11,2010
Florida,18511620,14115228,2900412,54570,444584,10797,624129,361900,87439,274461,12,2010
Georgia,9468815,5788255,2873069,23234,296986,4850,338510,143911,24144,119767,13,2010
Hawaii,1333591,333842,21170,3506,525848,127661,15964,305600,10008,295592,15,2010
Idaho,1526797,1407354,8674,18951,17939,2284,34225,37370,5226,32144,16,2010
Illinois,12745359,9136680,1860305,24729,571537,3290,927604,221214,54732,166482,17,2010
Indiana,6417398,5461258,572352,14487,96189,1510,148957,122645,18276,104369,18,2010
Iowa,3016267,2773410,82682,9825,50363,961,48535,50491,6721,43770,19,2010
Kansas,2809329,2391786,161768,24422,66119,1625,81140,82469,12195,70274,20,2010
Kentucky,4285828,3792514,330764,8794,45604,2674,40178,65300,6521,58779,21,2010
Louisiana,4429940,2819074,1405685,27352,67210,1416,50343,58860,7245,51615,22,2010
Maine,1327665,1268805,13903,7002,13432,438,4132,19953,1349,18604,23,2010
Maryland,5696423,3396216,1665235,16213,304574,2977,178952,132256,16984,115272,24,2010
Massachusetts,6477096,5289078,422303,12584,335906,2281,270865,144079,27509,116570,25,2010
Michigan,9952687,7895340,1401616,54502,242886,2722,144833,210788,26217,184571,26,2010
Minnesota,5241914,4539826,257165,55370,204202,2135,75607,107609,9485,98124,27,2010
Mississippi,2941991,1761910,1088270,13610,24691,636,23428,29446,2828,26618,28,2010
Missouri,5922314,4938222,679062,22829,92147,5201,61101,123752,9505,114247,29,2010
Montana,973739,874571,4325,60135,6091,609,6050,21958,1551,20407,30,2010
Nebraska,1799125,1587857,77986,15651,29624,1209,49026,37772,5308,32464,31,2010
Nevada,2633331,1938033,207567,28403,183979,15526,167382,92441,16697,75744,32,2010
New Hampshire,1313939,1241539,14186,2835,27754,287,9997,17341,1985,15356,33,2010
New Jersey,8721577,6074010,1176241,19683,697788,2303,576943,174609,46859,127750,34,2010
New Mexico,2013122,1433955,39935,188217,27463,1088,261155,61309,24322,36987,35,2010
New York,19229752,12764402,2990591,66876,1392380,5334,1607796,402373,115912,286461,36,2010
North Carolina,9271178,6453727,1980942,106026,194993,5170,356243,174077,25280,148797,37,2010
North Dakota,659858,597392,7034,34798,6132,439,3712,10351,593,9758,38,2010
Ohio,11512431,9598726,1391240,22785,186464,2162,98214,212840,22112,190728,39,2010
Oklahoma,3675339,2720135,267179,259809,61581,3967,98772,263896,13506,250390,40,2010
Oregon,3761925,3220250,66427,60612,135518,12100,135825,131193,16139,115054,41,2010
Pennsylvania,12612705,10460096,1347052,18205,332435,3012,255069,196836,30351,166485,42,2010
Rhode Island,1056389,866678,62082,4521,30991,357,68281,23479,6055,17424,44,2010
South Carolina,4511428,3034000,1269484,14095,54288,2053,70689,66819,6321,60498,45,2010
South Dakota,799462,692330,8874,68215,7126,241,7125,15551,1770,13781,46,2010
Tennessee,6234968,4910745,1037376,15237,87257,2987,86056,95310,10544,84766,47,2010
Texas,24311891,17503446,2864666,119680,904831,19005,2411546,488717,157270,331447,48,2010
Utah,2657236,2375876,27030,30831,53046,23944,90925,55584,10398,45186,49,2010
Vermont,624258,596947,5494,1832,7396,87,2363,10139,548,9591,50,2010
Virginia,7841754,5479975,1532150,24941,416549,5711,201692,180736,26075,154661,51,2010
Washington,6561297,5199167,229885,95212,457771,35706,271417,272139,30637,241502,53,2010
West Virginia,1840802,1734615,58968,3139,11482,529,4137,27932,1380,26552,54,2010
Wisconsin,5637947,4914551,348662,49189,122442,1553,107480,94070,14270,79800,55,2010
Wyoming,545579,498326,4135,12786,4138,242,11752,14200,2994,11206,56,2010
Puerto Rico,3762322,2761508,274843,7415,12414,101,395995,310046,19692,290354,72,2010
Alabama,4747424,3307557,1244112,26399,52668,1256,49759,65673,5139,60534,01,2011
Alaska,700703,472504,23426,97628,35912,6848,8981,55404,2802,52602,02,2011
Arizona,6337373,4987541,252127,280986,172290,11933,460186,172310,45962,126348,04,2011
Arkansas,2895928,2271277,449283,17239,34815,5031,64000,54283,5084,49199,05,2011
California,36969200,22860341,2252129,287712,4825271,141382,5142478,1459887,384789,1075098,06,2011
Colorado,4966061,4167044,195640,48201,134228,5798,255364,159786,32837,126949,08,2011
Delaware,890856,630804,188519,3109,28726,442,19821,19435,2145,17290,10,2011
District of Columbia,593955,231122,308516,1779,20773,311,20095,11359,1432,9927,11,2011
Connecticut,3558172,2796198,347941,8104,134108,1327,188390,82104,18210,63894,09,2011
Florida,18688787,14270053,2946899,58192,455403,11005,564351,382884,84287,298597,12,2011
Georgia,9600612,5849795,2922448,23979,308677,4653,330408,160652,24716,135936,13,2011
Idaho,1549987,1431372,8823,19584,18714,2425,31121,37948,5327,32621,16,2011
Hawaii,1346554,335908,21628,3198,524274,129157,16293,316096,9993,306103,15,2011
Illinois,12790182,9214977,1859608,25216,583302,3185,869769,234125,52921,181204,17,2011
Indiana,6454254,5482893,576304,14772,99194,1233,148087,131771,19758,112013,18,2011
Iowa,3032266,2782349,85714,9958,52881,1112,47376,52876,6598,46278,19,2011
Kansas,2830985,2412703,163063,23860,67532,1734,76328,85765,11057,74708,20,2011
Kentucky,4316040,3808381,336628,8913,47754,2403,42767,69194,6762,62432,21,2011
Louisiana,4484596,2838981,1429820,28154,69355,1719,51051,65516,8224,57292,22,2011
Maine,1328543,1268113,13979,7124,13745,310,3621,21651,1306,20345,23,2011
Maryland,5736545,3397326,1683842,16603,312883,2708,183883,139300,17280,122020,24,2011
Massachusetts,6512227,5294754,431907,12238,345422,1711,270932,155263,29055,126208,25,2011
Michigan,9920621,7869573,1395245,54638,244623,2690,130312,223540,27270,196270,26,2011
Minnesota,5278190,4556910,264751,57271,208315,2129,72079,116735,9735,107000,27,2011
Mississippi,2956700,1767875,1094596,13775,25807,579,22642,31426,3149,28277,28,2011
Missouri,5955802,4957147,686044,22509,93632,5725,60629,130116,9999,120117,29,2011
Montana,982854,881905,4403,61399,5999,664,5548,22936,1390,21546,30,2011
Nebraska,1813061,1600661,79828,15858,30637,1263,44877,39937,6141,33796,31,2011
Nevada,2673396,1960913,214360,29344,190079,16391,166215,96094,15674,80420,32,2011
New Hampshire,1315911,1241530,14520,2688,27702,296,9783,19392,1949,17443,33,2011
New Jersey,8753064,6095247,1180649,20490,714890,2112,547546,192130,49731,142399,34,2011
New Mexico,2037136,1467191,41082,188613,27214,1157,250192,61687,22465,39222,35,2011
New York,19302448,12768805,3013740,67766,1415147,6706,1588617,441667,129182,312485,36,2011
North Carolina,9418736,6560948,2016228,108960,202815,4725,336670,188390,26665,161725,37,2011
North Dakota,666783,602373,7231,35544,6693,348,3629,10965,646,10319,38,2011
Ohio,11525536,9592249,1395378,21194,190485,2162,94826,229242,20146,209096,39,2011
Oklahoma,3714520,2743563,270192,258295,63471,4257,96773,277969,13547,264422,40,2011
Oregon,3801991,3245856,68155,57114,139258,13447,143151,135010,16348,118662,41,2011
Pennsylvania,12660739,10473096,1358759,18065,341880,2785,250639,215515,32801,182714,42,2011
Rhode Island,1053959,863294,62682,4606,31476,459,66414,25028,6476,18552,44,2011
South Carolina,4575864,3075318,1281627,14939,56575,1920,73405,72080,6998,65082,45,2011
South Dakota,807697,697042,9347,69154,7672,197,6834,17451,1672,15779,46,2011
Tennessee,6297991,4949985,1048714,15285,90471,3097,89351,101088,10918,90170,47,2011
Texas,24774187,18093212,2917108,125101,939558,19966,2155160,524082,158367,365715,48,2011
Vermont,624958,596736,5464,1802,7544,155,2116,11141,568,10573,50,2011
Utah,2715379,2426175,29056,30842,54866,25137,88966,60337,10924,49413,49,2011
Virginia,7926192,5526985,1545568,25665,430227,5295,194281,198171,27049,171122,51,2011
Washington,6652845,5256224,233549,94243,470798,37084,268032,292915,32338,260577,53,2011
West Virginia,1846372,1736461,58296,3052,11809,456,4215,32083,1422,30661,54,2011
Wisconsin,5664893,4941085,352620,48741,125630,1503,93948,101366,14578,86788,55,2011
Wyoming,554697,506661,4309,12752,3985,204,11907,14879,3011,11868,56,2011
Puerto Rico,3742586,2695914,274200,7554,11701,77,376859,376281,19721,356560,72,2011
Alabama,4777326,3321318,1256097,26166,54923,1298,50685,66839,5138,61701,01,2012
Alaska,711139,477985,24219,98976,37968,7363,7836,56792,2941,53851,02,2012
Arizona,6410979,5085954,262284,283805,177598,12506,408851,179981,43515,136466,04,2012
Arkansas,2916372,2285577,453062,17390,35744,5516,62979,56104,5197,50907,05,2012
California,37325068,23252553,2254160,291505,4921543,144236,4914220,1546851,385152,1161699,06,2012
Colorado,5042853,4243753,201424,49099,136882,6034,238833,166828,34265,132563,08,2012
Delaware,900131,634259,192629,2877,29177,377,19896,20916,2391,18525,10,2012
District of Columbia,605759,239413,309263,2143,21440,312,20652,12536,1635,10901,11,2012
Connecticut,3572213,2802217,355660,8531,138355,1472,178260,87718,19654,68064,09,2012
Florida,18885152,14438364,3005551,58119,464587,11575,497053,409903,86683,323220,12,2012
Georgia,9714569,5903173,2970481,24937,318530,4498,314447,178503,27078,151425,13,2012
Idaho,1567803,1445289,8821,19376,19097,2213,33827,39180,5028,34152,16,2012
Hawaii,1362730,339079,22399,3079,527745,133873,16244,320311,10428,309883,15,2012
Illinois,12823860,9298731,1860471,26669,595110,2907,789345,250627,53743,196884,17,2012
Indiana,6485530,5500814,582691,15241,102713,1533,145911,136627,19559,117068,18,2012
Iowa,3047646,2793432,88664,9708,54262,1308,44227,56045,6473,49572,19,2012
Kansas,2851183,2435253,164177,23435,68683,1603,69337,88695,10465,78230,20,2012
Kentucky,4340167,3823344,339228,8607,49681,2370,42557,74380,6626,67754,21,2012
Louisiana,4529605,2856883,1450992,28702,71460,1826,49758,69984,8346,61638,22,2012
Maine,1329084,1266435,14338,7168,13971,288,3356,23528,1257,22271,23,2012
Maryland,5785496,3408049,1700174,17323,323363,2419,181612,152556,19440,133116,24,2012
Massachusetts,6560595,5310948,446347,12908,357354,1576,263643,167819,32259,135560,25,2012
Michigan,9897264,7852317,1391269,55723,245587,2678,115310,234380,27116,207264,26,2012
Minnesota,5313081,4570137,271953,56770,216159,2087,71621,124354,10298,114056,27,2012
Mississippi,2967620,1768530,1101849,13344,26403,345,23653,33496,3183,30313,28,2012
Missouri,5982413,4972530,689683,22704,96035,5812,61349,134300,10707,123593,29,2012
Montana,990785,887924,4145,62398,6034,674,5731,23879,1203,22676,30,2012
Nebraska,1827306,1612538,82341,16461,32302,1075,43294,39295,5506,33789,31,2012
Nevada,2704204,1970074,218305,30061,196245,16472,169302,103745,17073,86672,32,2012
New Hampshire,1317474,1241440,15339,2470,28684,203,8691,20647,1950,18697,33,2012
New Jersey,8793888,6121023,1187307,21702,736015,2592,517029,208220,52277,155943,34,2012
New Mexico,2055287,1492641,41634,189785,26855,1344,240189,62839,22825,40014,35,2012
New York,19398125,12808268,3037255,69500,1445539,6477,1557020,474066,138368,335698,36,2012
North Carolina,9544249,6659867,2047092,110171,211708,4424,306516,204471,27933,176538,37,2012
North Dakota,676253,608799,8286,36160,6869,375,3937,11827,685,11142,38,2012
Ohio,11533561,9577732,1403238,21447,196395,2164,90296,242289,20636,221653,39,2012
Oklahoma,3749005,2766297,270993,261060,65643,4271,93100,287641,13030,274611,40,2012
Oregon,3836628,3272707,69377,52637,143652,14132,144084,140039,16871,123168,41,2012
Pennsylvania,12699589,10475818,1372144,19247,351626,3821,244336,232597,34143,198454,42,2012
Rhode Island,1052471,859686,64711,4784,31863,350,64291,26786,6487,20299,44,2012
South Carolina,4630351,3108466,1290704,15122,57635,1791,75211,81422,8035,73387,45,2012
South Dakota,815871,701466,10331,71532,8060,157,7016,17309,1638,15671,46,2012
Tennessee,6353226,4982977,1060494,15991,92800,2765,88272,109927,11376,98551,47,2012
Texas,25208897,18670767,2972834,127794,979385,20671,1883103,554343,154584,399759,48,2012
Vermont,625498,596251,5804,1855,7891,130,1936,11631,529,11102,50,2012
Utah,2766233,2465277,29912,30823,56081,25766,95042,63332,11071,52261,49,2012
Virginia,8014955,5575445,1561042,25205,443460,5438,184403,219962,29250,190712,51,2012
Washington,6738714,5304864,238255,93416,484047,39246,267570,311316,34087,277229,53,2012
West Virginia,1850481,1737369,58260,2934,12694,531,3993,34700,1342,33358,54,2012
Wisconsin,5687219,4961852,353470,49289,129550,1302,82446,109310,14432,94878,55,2012
Wyoming,562803,513021,4689,12951,4392,206,12099,15445,2758,12687,56,2012
Puerto Rico,3716727,2631788,282162,8608,12495,44,354223,427407,18826,408581,72,2012
Alabama,4799277,3326188,1262152,25278,56831,1387,55296,72145,6003,66142,01,2013
Alaska,720316,481638,25033,101273,39200,8013,8402,56757,2865,53892,02,2013
Arizona,6479703,5131739,270027,286953,182953,12607,404159,191265,44039,147226,04,2013
Arkansas,2933369,2295446,454903,17945,37776,5697,63295,58307,5041,53266,05,2013
California,37659181,23467167,2255372,286397,5005635,146290,4870961,1627359,394809,1232550,06,2013
Colorado,5119329,4301096,203755,49177,141719,6549,241998,175035,34991,140044,08,2013
Delaware,908446,635474,194964,3010,30422,567,20943,23066,2718,20348,10,2013
District of Columbia,619371,248141,310530,1990,21845,233,22165,14467,1974,12493,11,2013
Connecticut,3583561,2792554,361668,8770,141709,1304,183445,94111,22076,72035,09,2013
Florida,19091156,14568521,3056152,58390,475905,11258,490475,430455,86988,343467,12,2013
Georgia,9810417,5948977,3010984,24496,330392,4554,297844,193170,29524,163646,13,2013
Idaho,1583364,1455692,8957,19984,20141,2216,36915,39459,5623,33836,16,2013
Hawaii,1376298,344488,24532,3050,526743,134733,15418,327334,11066,316268,15,2013
Illinois,12848554,9320910,1851524,27548,609923,2979,769968,265702,54164,211538,17,2013
Indiana,6514861,5510618,592954,14975,107563,1852,150197,136702,18876,117826,18,2013
Iowa,3062553,2802839,91754,9440,55878,1389,43024,58229,6999,51230,19,2013
Kansas,2868107,2449273,164299,23958,70408,1887,65807,92475,10610,81865,20,2013
Kentucky,4361333,3835013,341576,8811,51411,2019,41980,80523,7556,72967,21,2013
Louisiana,4567968,2874235,1463345,28466,73460,2141,51142,75179,8458,66721,22,2013
Maine,1328320,1264047,14637,7364,14391,246,3562,24073,1024,23049,23,2013
Maryland,5834299,3406243,1717582,17535,332620,2570,195644,162105,19576,142529,24,2013
Massachusetts,6605058,5318548,454887,12956,368178,1876,267875,180738,33080,147658,25,2013
Michigan,9886095,7841011,1385154,54881,251175,2230,107676,243968,26350,217618,26,2013
Minnesota,5347740,4575991,279944,57479,222761,2259,77273,132033,10767,121266,27,2013
Mississippi,2976872,1769766,1106982,13030,27646,274,24666,34508,3072,31436,28,2013
Missouri,6007182,4984653,691128,22781,98962,6263,64155,139240,11385,127855,29,2013
Montana,998554,893032,4038,64426,6246,676,5841,24295,1455,22840,30,2013
Nebraska,1841625,1624312,84228,16408,34144,1254,41346,39933,5352,34581,31,2013
Nevada,2730066,1948808,224424,29446,202157,16841,200115,108275,16883,91392,32,2013
New Hampshire,1319171,1240404,16011,2588,29337,214,8788,21829,1708,20121,33,2013
New Jersey,8832406,6108784,1197753,20482,756668,2610,528846,217263,53432,163831,34,2013
New Mexico,2069706,1511087,42196,189953,28034,1477,233341,63618,22492,41126,35,2013
New York,19487053,12779326,3042152,72740,1479326,7365,1595715,510429,146830,363599,36,2013
North Carolina,9651380,6727690,2068726,111733,221392,5390,297514,218935,29448,189487,37,2013
North Dakota,689781,618098,9273,36659,7362,332,4531,13526,1010,12516,38,2013
Ohio,11549590,9569431,1402897,20709,201394,2402,93753,259004,20746,238258,39,2013
Oklahoma,3785742,2783609,273421,266509,68161,4283,95783,293976,13903,280073,40,2013
Oregon,3868721,3297149,70328,47411,147986,14993,145000,145854,16910,128944,41,2013
Pennsylvania,12731381,10467433,1385799,20258,363967,3510,246840,243574,35510,208064,42,2013
Rhode Island,1051695,855594,66569,4616,32384,383,64602,27547,6178,21369,44,2013
South Carolina,4679602,3144146,1298534,14732,61097,2128,74130,84835,9589,75246,45,2013
South Dakota,825198,706667,11531,71766,8597,226,7214,19197,1439,17758,46,2013
Tennessee,6402387,5007014,1073534,16604,95801,3110,93081,113243,11536,101707,47,2013
Texas,25639373,19075100,3030970,129219,1019260,20974,1773524,590326,154971,435355,48,2013
Vermont,625904,595862,6139,1841,7922,145,1744,12251,594,11657,50,2013
Utah,2813673,2487467,31101,31696,58150,26145,112795,66319,12508,53811,49,2013
Virginia,8100653,5627076,1568021,24816,457792,5633,179449,237866,27985,209881,51,2013
Washington,6819579,5350938,245041,94194,498941,40695,265299,324471,33425,291046,53,2013
West Virginia,1853619,1737996,58489,2955,12806,666,4739,35968,1243,34725,54,2013
Wisconsin,5706871,4966900,355873,49343,132609,1305,85288,115553,14278,101275,55,2013
Wyoming,570134,518388,5167,13268,4782,197,12491,15841,2714,13127,56,2013
Puerto Rico,3682966,2575834,284860,10471,12120,61,365364,434256,19219,415037,72,2013
Alabama,4817678,3327891,1269808,25181,58322,1430,58618,76428,6374,70054,01,2014
Alaska,728300,484195,25148,102743,40976,8335,8382,58521,2973,55548,02,2014
Arizona,6561516,5174082,274380,290780,191071,12638,418033,200532,45152,155380,04,2014
Arkansas,2947036,2306073,458136,18337,38409,6278,60565,59238,5227,54011,05,2014
California,38066920,23650913,2262323,287360,5130536,147286,4890329,1698173,398497,1299676,06,2014
Colorado,5197580,4364911,209062,49917,146561,6641,240282,180206,35758,144448,08,2014
Delaware,917060,639354,198028,3134,31745,494,20369,23936,2591,21345,10,2014
District of Columbia,633736,254955,314138,2072,22785,195,23999,15592,2015,13577,11,2014
Connecticut,3592053,2789105,365871,8036,145842,1105,183297,98797,23150,75647,09,2014
Florida,19361792,14747196,3114841,59121,490833,12128,484274,453399,86393,367006,12,2014
Georgia,9907756,5989234,3056726,25137,344195,4317,287276,200871,30163,170708,13,2014
Idaho,1599464,1468732,9334,20363,21749,2177,37553,39556,5438,34118,16,2014
Hawaii,1392704,350634,26913,2725,529907,138735,15357,328433,11101,317332,15,2014
Illinois,12868747,9331376,1849054,28535,627402,3240,751248,277892,56071,221821,17,2014
Indiana,6542411,5519313,598423,15286,114674,2076,151502,141137,18714,122423,18,2014
Iowa,3078116,2813097,95716,9688,59726,1715,39953,58221,6041,52180,19,2014
Kansas,2882946,2457815,167220,23727,72568,1655,64931,95030,10617,84413,20,2014
Kentucky,4383272,3845535,345035,9000,53448,2109,41518,86627,7448,79179,21,2014
Louisiana,4601049,2890570,1477781,28807,75409,1671,49002,77809,8945,68864,22,2014
Maine,1328535,1262817,14865,7552,14610,198,3251,25242,998,24244,23,2014
Maryland,5887776,3418336,1737155,16429,344956,2425,198969,169506,20198,149308,24,2014
Massachusetts,6657291,5326774,465792,13642,384642,1645,274529,190267,33591,156676,25,2014
Michigan,9889024,7829621,1383205,54960,258567,1995,107141,253535,26173,227362,26,2014
Minnesota,5383661,4585781,290545,56490,230798,2166,78863,139018,10914,128104,27,2014
Mississippi,2984345,1769693,1113652,13056,28067,365,25086,34426,3358,31068,28,2014
Missouri,6028076,4991914,695813,24269,101772,5983,64057,144268,12998,131270,29,2014
Montana,1006370,899503,4563,65110,6651,699,4945,24899,1387,23512,30,2014
Nebraska,1855617,1637794,86423,16163,35696,1150,37075,41316,4905,36411,31,2014
Nevada,2761584,1935379,229638,30155,207610,17207,225537,116058,17922,98136,32,2014
New Hampshire,1321069,1239543,16293,2510,30560,280,7805,24078,2555,21523,33,2014
New Jersey,8874374,6094052,1201339,18921,779841,2671,557107,220443,55046,165397,34,2014
New Mexico,2080085,1521876,42515,190350,28578,1271,230398,65097,23418,41679,35,2014
New York,19594330,12733518,3060048,74572,1522549,6258,1649123,548262,155051,393211,36,2014
North Carolina,9750405,6784901,2093389,113798,231830,6083,293865,226539,30103,196436,37,2014
North Dakota,704925,628770,10781,36989,8124,312,5113,14836,1091,13745,38,2014
Ohio,11560380,9549343,1407493,21077,208725,2893,96823,274026,23296,250730,39,2014
Oklahoma,3818851,2799122,277007,274099,71396,4390,96727,296110,14400,281710,40,2014
Oregon,3900343,3317668,70700,47155,152259,14513,144234,153814,17284,136530,41,2014
Pennsylvania,12758729,10449680,1395718,22951,377735,3740,249147,259758,36367,223391,42,2014
Rhode Island,1053252,856605,66827,4951,32994,536,61994,29345,6712,22633,44,2014
South Carolina,4727273,3176381,1305347,15137,63199,2326,73984,90899,9117,81782,45,2014
South Dakota,834708,712496,12642,72016,9433,229,7199,20693,1331,19362,46,2014
Tennessee,6451365,5029109,1082001,17656,98441,3256,98240,122662,11913,110749,47,2014
Texas,26092033,19499105,3094227,127236,1067008,21867,1662288,620302,150808,469494,48,2014
Vermont,626358,595385,6435,2008,8200,214,1924,12192,569,11623,50,2014
Utah,2858111,2515352,31163,31999,60631,26491,122012,70463,13198,57265,49,2014
Virginia,8185131,5668363,1577943,23421,475632,5485,179166,255121,29175,225946,51,2014
Washington,6899123,5392302,250484,95117,518072,42608,261577,338963,33540,305423,53,2014
West Virginia,1853881,1735816,59129,3075,13144,645,5151,36921,1561,35360,54,2014
Wisconsin,5724692,4965198,357758,49563,137404,1303,92690,120776,15013,105763,55,2014
Wyoming,575251,522535,5958,13144,5377,332,12387,15518,2242,13276,56,2014
Puerto Rico,3638965,2533581,290999,11102,11484,129,395458,396212,19734,376478,72,2014
Mississippi,2988081,1768174,1116457,12896,28900,409,25911,35334,3464,31870,28,2015
Missouri,6045448,4995527,697022,24951,106537,6161,67605,147645,13099,134546,29,2015
Montana,1014699,904977,4757,65693,7187,848,5460,25777,1344,24433,30,2015
Nebraska,1869365,1647551,88195,16319,38066,1280,36359,41595,4802,36793,31,2015
Nevada,2798636,1929661,235721,31393,214846,17942,246138,122935,19626,103309,32,2015
New Hampshire,1324201,1241313,17439,2238,31364,228,7273,24346,2243,22103,33,2015
New Jersey,8904413,6083940,1202300,18335,804989,2808,568215,223826,52672,171154,34,2015
New Mexico,2084117,1524911,43738,190528,28761,1276,226850,68053,23997,44056,35,2015
New York,19673174,12704637,3070392,74793,1570223,6485,1685765,560879,153078,407801,36,2015
North Carolina,9845333,6839831,2115338,116143,244076,6244,292310,231391,28209,203182,37,2015
North Dakota,721640,640208,11872,38286,8979,304,5859,16132,952,15180,38,2015
Ohio,11575977,9538328,1412045,21646,216170,3060,97516,287212,23289,263923,39,2015
Oklahoma,3849733,2813794,278571,279276,74570,4701,98885,299936,15087,284849,40,2015
Oregon,3939233,3352941,72837,46258,156695,15042,132667,162793,17054,145739,41,2015
